Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0003584,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,always,,General,2025-07-08,,,,public,2025-07-09,Отображается сообщение об ошибке 503 при открытии референса на сайт проекта «Poseydon» в разделе «Портфоліо»,assigned,open,
0003585,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,always,,General,2025-07-08,,,,public,2025-07-09,"Отображается сообщение «Страница не найдена» при переходе на референс магазина ""Google Play"" проекта «BTW Shopping app»",assigned,open,
0003586,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,always,,General,2025-07-09,,,,public,2025-07-09,"Отображается ошибка 526 ""Invalid SSL certificate"" при переходе на референс  http://newkadorr.od.ua/ проекта«New Kadorr»",assigned,open,
0003588,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,always,,General,2025-07-09,,,,public,2025-07-09,"Отсутствие функциональности референса на магазин ""App Store"" проекта «Helper app» в разделе «Портфолiо»",assigned,open,
0003587,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,have not tried,,General,2025-07-09,,,,public,2025-07-09,Отсутствие функциональности референса на магазин Google Play проекта «Helper app» в разделе «Портфолiо»,assigned,open,
0003582,Project Avada,Kovalova Svitlana,ai_ivanov,low,minor,always,,General,2025-07-08,,,,public,2025-07-08,"Отсутствует изображение-иконка «IOS» в разделе ""Experience"" закладки ""Компанія"" в главном меню",assigned,open,
0003577,Project Avada,Kovalova Svitlana,ai_ivanov,high,major,always,,General,2025-07-08,,,,public,2025-07-08,Отсутствие валидации номера телефона в форме заявки на обратную связь в разделе меню «Контакти»,assigned,open,
0003573,Project Avada,Kovalova Svitlana,ai_ivanov,normal,major,always,,General,2025-07-08,,,,public,2025-07-08,"Отображается сообщение об ошибке 404 ""Сторінка не знайдена"" при переходе по ссылке «Форуми»",assigned,open,
0003572,Project Avada,Kovalova Svitlana,ai_ivanov,low,trivial,always,,General,2025-07-08,,,,public,2025-07-08,Орфографическая ошибка в названии ссылки «Чат-бот для магазину» в разделе «06 Чат-боти»,assigned,open,
0003569,Project Avada,Kovalova Svitlana,ai_ivanov,low,minor,always,,General,2025-07-08,,,,public,2025-07-08,"Ошибка локализации при нажатии ссылки ""Sitemap"" в меню ""Contacts"" в EN локализации",assigned,open,
0003567,Project Avada,Kovalova Svitlana,ai_ivanov,normal,major,always,,General,2025-07-08,,,,public,2025-07-08,"[avada-media.ua] Отображается сообщение об ошибке 404 ""Сторінка не знайдена"" при нажатии иконки ""С++"" в разделе ""Experience""",assigned,open,
